"city","city_ascii","state_id","state_name","county_name"
"Boardman","Boardman","OR","Oregon","Morrow"
"Highland Falls","Highland Falls","NY","New York","Orange"
"San Joaquin","San Joaquin","CA","California","Fresno"
"South Glens Falls","South Glens Falls","NY","New York","Saratoga"
"Elma Center","Elma Center","NY","New York","Erie"
"Baldwin","Baldwin","GA","Georgia","Habersham"
"Riverwoods","Riverwoods","IL","Illinois","Lake"
"Mogadore","Mogadore","OH","Ohio","Summit"
"Byron","Byron","IL","Illinois","Ogle"
"Indian Rocks Beach","Indian Rocks Beach","FL","Florida","Pinellas"
"Val Verde Park","Val Verde Park","TX","Texas","Val Verde"
"North River Shores","North River Shores","FL","Florida","Martin"
"Northwoods","Northwoods","MO","Missouri","St. Louis"
"Cotulla","Cotulla","TX","Texas","La Salle"
"Tabor City","Tabor City","NC","North Carolina","Columbus"
"Independence","Independence","MN","Minnesota","Hennepin"
"Gamewell","Gamewell","NC","North Carolina","Caldwell"
"Burbank","Burbank","WA","Washington","Walla Walla"
"Esparto","Esparto","CA","California","Yolo"
"Stanley","Stanley","WI","Wisconsin","Chippewa"
"Planada","Planada","CA","California","Merced"
"Juno Beach","Juno Beach","FL","Florida","Palm Beach"
"Harrington","Harrington","DE","Delaware","Kent"
"Walthourville","Walthourville","GA","Georgia","Liberty"
"Groesbeck","Groesbeck","TX","Texas","Limestone"
"Romeo","Romeo","MI","Michigan","Macomb"
"Rexland Acres","Rexland Acres","CA","California","Kern"
"Oliver Springs","Oliver Springs","TN","Tennessee","Anderson"
"Lake Land'Or","Lake Land'Or","VA","Virginia","Caroline"
"Westway","Westway","TX","Texas","El Paso"
"Walton Park","Walton Park","NY","New York","Orange"
"Wills Point","Wills Point","TX","Texas","Van Zandt"
"Lincoln Park","Lincoln Park","CO","Colorado","Fremont"
"Fort Defiance","Fort Defiance","AZ","Arizona","Apache"
"Mill Bay","Mill Bay","AK","Alaska","Kodiak Island"
"Wyldwood","Wyldwood","TX","Texas","Bastrop"
"Chattanooga Valley","Chattanooga Valley","GA","Georgia","Walker"
"Geneva","Geneva","FL","Florida","Seminole"
"Wheatland","Wheatland","CA","California","Yuba"
"Nash","Nash","TX","Texas","Bowie"
"Richfield","Richfield","OH","Ohio","Summit"
"Forestdale","Forestdale","MA","Massachusetts","Barnstable"
"Greenhills","Greenhills","OH","Ohio","Hamilton"
"Bardonia","Bardonia","NY","New York","Rockland"
"North Yelm","North Yelm","WA","Washington","Thurston"
"Heron Bay","Heron Bay","GA","Georgia","Henry"
"San Diego","San Diego","TX","Texas","Duval"
"Vicksburg","Vicksburg","MI","Michigan","Kalamazoo"
"Red Bud","Red Bud","IL","Illinois","Randolph"
"Montrose","Montrose","MN","Minnesota","Wright"
"Georgetown","Georgetown","IN","Indiana","Floyd"
"Marietta-Alderwood","Marietta-Alderwood","WA","Washington","Whatcom"
"Chandler","Chandler","IN","Indiana","Warrick"
"Pocono Woodland Lakes","Pocono Woodland Lakes","PA","Pennsylvania","Pike"
"Jamestown","Jamestown","NC","North Carolina","Guilford"
"Imlay City","Imlay City","MI","Michigan","Lapeer"
"Riverview Park","Riverview Park","PA","Pennsylvania","Berks"
"Jena","Jena","LA","Louisiana","LaSalle"
"Hohenwald","Hohenwald","TN","Tennessee","Lewis"
"Ocilla","Ocilla","GA","Georgia","Irwin"
"Norton","Norton","VA","Virginia","Norton"
"Taylor Lake Village","Taylor Lake Village","TX","Texas","Harris"
"Albia","Albia","IA","Iowa","Monroe"
"Zumbrota","Zumbrota","MN","Minnesota","Goodhue"
"Knox","Knox","IN","Indiana","Starke"
"Angels","Angels","CA","California","Calaveras"
"Laureles","Laureles","TX","Texas","Cameron"
"Spencerport","Spencerport","NY","New York","Monroe"
"Port Vue","Port Vue","PA","Pennsylvania","Allegheny"
"Kensington Park","Kensington Park","FL","Florida","Sarasota"
"Squaw Valley","Squaw Valley","CA","California","Fresno"
"Morton","Morton","MS","Mississippi","Scott"
"Dakota Dunes","Dakota Dunes","SD","South Dakota","Union"
"Nome","Nome","AK","Alaska","Nome"
"Gatlinburg","Gatlinburg","TN","Tennessee","Sevier"
"Larned","Larned","KS","Kansas","Pawnee"
"Russell","Russell","KY","Kentucky","Greenup"
"Imbéry","Imbery","PR","Puerto Rico","Barceloneta"
"Whitesboro","Whitesboro","NY","New York","Oneida"
"Port St. Joe","Port St. Joe","FL","Florida","Gulf"
"St. Anthony","St. Anthony","ID","Idaho","Fremont"
"Whitney","Whitney","SC","South Carolina","Spartanburg"
"Stilwell","Stilwell","OK","Oklahoma","Adair"
"Forsyth","Forsyth","IL","Illinois","Macon"
"Fairbury","Fairbury","IL","Illinois","Livingston"
"Paoli","Paoli","IN","Indiana","Orange"
"West Columbia","West Columbia","TX","Texas","Brazoria"
"Cambrian Park","Cambrian Park","CA","California","Santa Clara"
"Edgecliff Village","Edgecliff Village","TX","Texas","Tarrant"
"Barceloneta","Barceloneta","PR","Puerto Rico","Barceloneta"
"Emmetsburg","Emmetsburg","IA","Iowa","Palo Alto"
"Barrett","Barrett","TX","Texas","Harris"
"Rutherfordton","Rutherfordton","NC","North Carolina","Rutherford"
"Lake California","Lake California","CA","California","Tehama"
"Kitty Hawk","Kitty Hawk","NC","North Carolina","Dare"
"Ridgeland","Ridgeland","SC","South Carolina","Jasper"
"Fetters Hot Springs-Agua Caliente","Fetters Hot Springs-Agua Caliente","CA","California","Sonoma"
"Hazlehurst","Hazlehurst","MS","Mississippi","Copiah"
"Melody Hill","Melody Hill","IN","Indiana","Vanderburgh"
"Lawrenceville","Lawrenceville","NJ","New Jersey","Mercer"
"Marianna","Marianna","AR","Arkansas","Lee"
"Southgate","Southgate","KY","Kentucky","Campbell"
"Tangerine","Tangerine","FL","Florida","Orange"
"Roselawn","Roselawn","IN","Indiana","Newton"
"Campanilla","Campanilla","PR","Puerto Rico","Toa Baja"
"Honea Path","Honea Path","SC","South Carolina","Anderson"
"Thorndale","Thorndale","PA","Pennsylvania","Chester"
"Ladonia","Ladonia","AL","Alabama","Russell"
"Eastover","Eastover","NC","North Carolina","Cumberland"
"Maiden","Maiden","NC","North Carolina","Catawba"
"Gunnison","Gunnison","UT","Utah","Sanpete"
"Bloomer","Bloomer","WI","Wisconsin","Chippewa"
"Minoa","Minoa","NY","New York","Onondaga"
"Thomasville","Thomasville","AL","Alabama","Clarke"
"Alturas","Alturas","FL","Florida","Polk"
"Lowell","Lowell","NC","North Carolina","Gaston"
"Manila","Manila","AR","Arkansas","Mississippi"
"Eastland","Eastland","TX","Texas","Eastland"
"Manchester","Manchester","GA","Georgia","Meriwether"
"Franklinton","Franklinton","LA","Louisiana","Washington"
"Camden","Camden","TN","Tennessee","Benton"
"Umatilla","Umatilla","FL","Florida","Lake"
"Harrisburg","Harrisburg","OR","Oregon","Linn"
"North Brooksville","North Brooksville","FL","Florida","Hernando"
"Kennesaw State University","Kennesaw State University","GA","Georgia","Cobb"
"Stanford","Stanford","KY","Kentucky","Lincoln"
"Carefree","Carefree","AZ","Arizona","Maricopa"
"Grand Mound","Grand Mound","WA","Washington","Thurston"
"South Toms River","South Toms River","NJ","New Jersey","Ocean"
"Barron","Barron","WI","Wisconsin","Barron"
"Hayfork","Hayfork","CA","California","Trinity"
"Omro","Omro","WI","Wisconsin","Winnebago"
"Deer Park","Deer Park","IL","Illinois","Lake"
"Woodstown","Woodstown","NJ","New Jersey","Salem"
"Vandenberg AFB","Vandenberg AFB","CA","California","Santa Barbara"
"Sweeny","Sweeny","TX","Texas","Brazoria"
"Auburn Lake Trails","Auburn Lake Trails","CA","California","El Dorado"
"Surf City","Surf City","NC","North Carolina","Pender"
"Cedar Springs","Cedar Springs","MI","Michigan","Kent"
"Lake Panasoffkee","Lake Panasoffkee","FL","Florida","Sumter"
"Piggott","Piggott","AR","Arkansas","Clay"
"Bajadero","Bajadero","PR","Puerto Rico","Arecibo"
"Long Prairie","Long Prairie","MN","Minnesota","Todd"
"Crane","Crane","TX","Texas","Crane"
"Pittsboro","Pittsboro","IN","Indiana","Hendricks"
"Leo-Cedarville","Leo-Cedarville","IN","Indiana","Allen"
"Kenedy","Kenedy","TX","Texas","Karnes"
"The Homesteads","The Homesteads","TX","Texas","Johnson"
"Nellis AFB","Nellis AFB","NV","Nevada","Clark"
"North Wildwood","North Wildwood","NJ","New Jersey","Cape May"
"Gooding","Gooding","ID","Idaho","Gooding"
"Arcadia","Arcadia","WI","Wisconsin","Trempealeau"
"Bunk Foss","Bunk Foss","WA","Washington","Snohomish"
"Clearview","Clearview","WA","Washington","Snohomish"
"Mount Pleasant","Mount Pleasant","UT","Utah","Sanpete"
"Palmyra","Palmyra","MO","Missouri","Marion"
"Mojave","Mojave","CA","California","Kern"
"Berwyn","Berwyn","PA","Pennsylvania","Chester"
"Two Harbors","Two Harbors","MN","Minnesota","Lake"
"Melrose","Melrose","MN","Minnesota","Stearns"
"Las Lomas","Las Lomas","CA","California","Monterey"
"Combined Locks","Combined Locks","WI","Wisconsin","Outagamie"
"Frontenac","Frontenac","MO","Missouri","St. Louis"
"Kane","Kane","PA","Pennsylvania","McKean"
"Johnson","Johnson","AR","Arkansas","Washington"
"Bella Vista","Bella Vista","CA","California","Shasta"
"Landis","Landis","NC","North Carolina","Rowan"
"East Kapolei","East Kapolei","HI","Hawaii","Honolulu"
"Shingle Springs","Shingle Springs","CA","California","El Dorado"
"Helena Valley Northeast","Helena Valley Northeast","MT","Montana","Lewis and Clark"
"Locust Valley","Locust Valley","NY","New York","Nassau"
"Swansboro","Swansboro","NC","North Carolina","Onslow"
"Paulding","Paulding","OH","Ohio","Paulding"
"Del Monte Forest","Del Monte Forest","CA","California","Monterey"
"Granger","Granger","WA","Washington","Yakima"
"Port Ewen","Port Ewen","NY","New York","Ulster"
"Chipley","Chipley","FL","Florida","Washington"
"Eastlawn Gardens","Eastlawn Gardens","PA","Pennsylvania","Northampton"
"Three Rivers","Three Rivers","OR","Oregon","Deschutes"
"Eagle Grove","Eagle Grove","IA","Iowa","Wright"
"Campo","Campo","CA","California","San Diego"
"South Berwick","South Berwick","ME","Maine","York"
"Dawsonville","Dawsonville","GA","Georgia","Dawson"
"Gibson City","Gibson City","IL","Illinois","Ford"
"Bethlehem","Bethlehem","NC","North Carolina","Alexander"
"Heyburn","Heyburn","ID","Idaho","Minidoka"
"Farmersville","Farmersville","TX","Texas","Collin"
"O'Neill","O'Neill","NE","Nebraska","Holt"
"Sixteen Mile Stand","Sixteen Mile Stand","OH","Ohio","Hamilton"
"Saint Davids","Saint Davids","PA","Pennsylvania","Delaware"
"Chula Vista","Chula Vista","TX","Texas","Maverick"
"Abingdon","Abingdon","IL","Illinois","Knox"
"Brimfield","Brimfield","OH","Ohio","Portage"
"Columbus","Columbus","TX","Texas","Colorado"
"Park City","Park City","TN","Tennessee","Lincoln"
"Osage","Osage","IA","Iowa","Mitchell"
"Lyons","Lyons","KS","Kansas","Rice"
"Mission Hills","Mission Hills","KS","Kansas","Johnson"
"Tolono","Tolono","IL","Illinois","Champaign"
"Wilkesboro","Wilkesboro","NC","North Carolina","Wilkes"
"Oakwood","Oakwood","OH","Ohio","Cuyahoga"
"Flagler Estates","Flagler Estates","FL","Florida","St. Johns"
"Lloyd Harbor","Lloyd Harbor","NY","New York","Suffolk"
"Mahanoy City","Mahanoy City","PA","Pennsylvania","Schuylkill"
"Jasper","Jasper","TN","Tennessee","Marion"
"Midway North","Midway North","TX","Texas","Hidalgo"
